game_id,created_at,color,result,player_rating,opponent_rating,opponent_name,variant,speed,rated,status,rating_diff
ovXf5I0A,2025-05-24 20:12:27.745,Black,Win,3180,3159.0,Night-King96,standard,bullet,True,outoftime,21.0
KyVLw4xS,2025-05-24 20:10:30.444,White,Draw,3181,3145.0,KonstantinKornienko,standard,bullet,True,draw,36.0
oPmPGF8X,2025-05-24 20:09:53.097,Black,Loss,3196,2998.0,Zubrrr,standard,bullet,True,resign,198.0
bDRN4aOQ,2025-05-24 20:07:44.796,White,Win,3189,3069.0,dr_xStranger,standard,bullet,True,outoftime,120.0
OwBe22yo,2025-05-24 20:05:35.274,Black,Draw,3192,3108.0,Zaven_ChessMood,standard,bullet,True,draw,84.0
O79p4glP,2025-05-24 20:03:39.475,White,Win,3183,3129.0,chess-art-us,standard,bullet,True,resign,54.0
P8sDo8tc,2025-05-24 20:01:47.756,Black,Win,3177,2973.0,Dragon700,standard,bullet,True,resign,204.0
GILE0fmS,2025-05-24 19:59:18.868,White,Loss,3187,3242.0,junglebook1,standard,bullet,True,outoftime,-55.0
ony4vIqh,2025-05-24 19:57:48.081,Black,Win,3179,3059.0,Katarina0TP,standard,bullet,True,resign,120.0
7QfHIkvB,2025-05-24 19:56:08.406,Black,Draw,3177,3241.0,junglebook1,standard,bullet,True,draw,-64.0
CGxkqUqp,2025-05-24 19:54:36.297,White,Win,3173,2875.0,moshakvar,standard,bullet,True,resign,298.0
xaFdRV7l,2025-05-24 19:53:25.763,Black,Win,3167,2953.0,KAPUTVSEMU,standard,bullet,True,resign,214.0
RaZzgXoN,2025-05-24 19:51:25.085,White,Loss,3189,2872.0,moshakvar,standard,bullet,True,mate,317.0
M6eLBiFH,2025-05-24 19:49:13.726,White,Win,3181,3048.0,Mamikon_Gharibyan,standard,bullet,True,mate,133.0
eWcl7RsZ,2025-05-24 19:47:31.407,Black,Win,3169,3132.0,royalchesssamarkand,standard,bullet,True,mate,37.0
6lXVH00K,2025-05-24 19:44:57.302,Black,Win,3162,2958.0,Lord_Maxik,standard,bullet,True,outoftime,204.0
OfNq3gH6,2025-05-24 19:43:05.006,White,Win,3147,3155.0,KonstantinKornienko,standard,bullet,True,resign,-8.0
p8t7n1h4,2025-05-24 19:41:31.276,Black,Loss,3166,3061.0,dr_xStranger,standard,bullet,True,resign,105.0
zhHaWEYx,2025-05-24 19:39:19.636,White,Loss,3180,3223.0,junglebook1,standard,bullet,True,resign,-43.0
iURTZvqA,2025-05-24 19:38:25.352,White,Win,3165,3137.0,chess-art-us,standard,bullet,True,resign,28.0
w0kyVgi1,2025-05-24 19:35:55.388,Black,Loss,3192,2944.0,KAPUTVSEMU,standard,bullet,True,outoftime,248.0
Kmr7r6wh,2025-05-24 19:33:46.544,White,Win,3180,3059.0,dr_xStranger,standard,bullet,True,outoftime,121.0
JlEpkyk3,2025-05-24 19:32:32.052,Black,Win,3162,3161.0,KonstantinKornienko,standard,bullet,True,resign,1.0
oaByoGQT,2025-05-24 19:30:58.626,White,Win,3144,3102.0,toivok3,standard,bullet,True,resign,42.0
cEbsIuIM,2025-05-24 19:30:04.619,White,Win,3122,3157.0,Night-King96,standard,bullet,True,resign,-35.0
7TA0gikZ,2025-05-24 19:29:25.225,Black,Win,3105,3015.0,NINDJAxx8,standard,bullet,True,resign,90.0
mpdOSjGE,2025-05-24 19:27:30.116,Black,Win,3087,3009.0,StrongKhaganaK1ller,standard,bullet,True,resign,78.0
QypoKrwX,2025-05-24 19:26:15.347,White,Win,3069,2964.0,Zubrrr,standard,bullet,True,resign,105.0
s0Uhpirb,2025-05-24 19:24:24.680,Black,Draw,3083,2882.0,FakeBruceLee,standard,bullet,True,draw,201.0
OfyuJPd6,2025-05-24 19:21:52.770,White,Win,3072,2822.0,SalihEke,standard,bullet,True,mate,250.0
sU7DwEQ5,2025-05-24 19:19:24.546,Black,Win,3055,2891.0,affa19,standard,bullet,True,mate,164.0
nqJ08CV3,2025-05-24 19:17:34.431,White,Win,3046,2731.0,PishgamChessClub,standard,bullet,True,resign,315.0
DRDFnjTg,2025-05-24 19:16:00.763,Black,Win,3037,2721.0,GGTOURS,standard,bullet,True,mate,316.0
sehBuh7G,2025-05-24 19:14:24.873,White,Win,3029,2678.0,chesspawnrookking,standard,bullet,True,mate,351.0
